Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
2 10 10 3 14 3.4976859092712402 122300 68200 0 0 155390 0 0 0 0 0 itp -1 0.0 11382.257879028111
3 10 10 3 8 1.0797131061553955 41300 25000 0 0 53690 0 0 0 0 0 itp -1 0.0 10199.620004723842
4 10 10 3 2 0.13678598403930664 3500 3400 0 0 5990 0 0 0 0 0 itp -1 0.0 4725.879811803803
5 10 10 2 14 3.2033779621124268 122200 68100 0 0 154890 0 0 0 0 0 itp -1 0.0 14958.572701492372
6 10 10 2 8 1.0402791500091553 41200 24900 0 0 53190 0 0 0 0 0 itp -1 0.0 9685.484223979422
7 10 10 2 2 0.13863921165466309 3400 3300 0 0 5490 0 0 0 0 0 itp -1 0.0 5452.768530266034
8 6 10 3 14 1.998495101928711 73380 40920 0 0 93230 0 0 0 0 0 itp -1 0.0 5238.805989288526
9 6 10 3 8 0.6035680770874023 24780 15000 0 0 32210 0 0 0 0 0 itp -1 0.0 5371.073858034863
10 6 10 3 2 0.08994817733764648 2100 2040 0 0 3590 0 0 0 0 0 itp -1 0.0 3197.320075943911
11 6 10 2 14 1.886786699295044 73320 40860 0 0 92930 0 0 0 0 0 itp -1 0.0 7937.44962037697
12 6 10 2 8 0.6960132122039795 24720 14940 0 0 31910 0 0 0 0 0 itp -1 0.0 6210.09934022638
13 6 10 2 2 0.09508013725280762 2040 1980 0 0 3290 0 0 0 0 0 itp -1 0.0 2944.567394749845
14 2 10 3 14 0.6564290523529053 24460 13640 0 0 31070 0 0 0 0 0 itp -1 0.0 2949.1282649235677
15 2 10 3 8 0.2409660816192627 8260 5000 0 0 10730 0 0 0 0 0 itp -1 0.0 2115.4090816111675
16 2 10 3 2 0.04520702362060547 700 680 0 0 1190 0 0 0 0 0 itp -1 0.0 1169.3588273920875
17 2 10 2 14 0.6164848804473877 24440 13620 0 0 30970 0 0 0 0 0 itp -1 0.0 2284.0313847912917
18 2 10 2 8 0.21744799613952637 8240 4980 0 0 10630 0 0 0 0 0 itp -1 0.0 1125.0950129142611
19 2 10 2 2 0.04231119155883789 680 660 0 0 1090 0 0 0 0 0 itp -1 0.0 1037.7344207818112
