Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
2 10 10 3 14 3.497016668319702 122300 68380 0 0 155390 0 0 0 0 0 itp -1 0.0 75209.75716468808
3 10 10 3 8 1.1515021324157715 41300 25180 0 0 53690 0 0 0 0 0 itp -1 0.0 45072.44532702725
4 10 10 3 2 0.13936400413513184 3500 3580 0 0 5990 0 0 0 0 0 itp -1 0.0 15543.311634356838
5 10 10 2 14 3.3730039596557617 122200 68280 0 0 154890 0 0 0 0 0 itp -1 0.0 63287.679504922875
6 10 10 2 8 1.1623849868774414 41200 25080 0 0 53190 0 0 0 0 0 itp -1 0.0 56301.38317378784
7 10 10 2 2 0.13703513145446777 3400 3480 0 0 5490 0 0 0 0 0 itp -1 0.0 14389.43832362885
8 6 10 3 14 2.011245012283325 73380 41028 0 0 93230 0 0 0 0 0 itp -1 0.0 41852.306893855464
9 6 10 3 8 0.7156198024749756 24780 15108 0 0 32210 0 0 0 0 0 itp -1 0.0 26614.171241775413
10 6 10 3 2 0.09049320220947266 2100 2148 0 0 3590 0 0 0 0 0 itp -1 0.0 8294.481544610548
11 6 10 2 14 1.9910690784454346 73320 40968 0 0 92930 0 0 0 0 0 itp -1 0.0 38745.41183141194
12 6 10 2 8 0.6945621967315674 24720 15048 0 0 31910 0 0 0 0 0 itp -1 0.0 32940.83761384039
13 6 10 2 2 0.09564685821533203 2040 2088 0 0 3290 0 0 0 0 0 itp -1 0.0 9894.178696514067
14 2 10 3 14 0.6565332412719727 24460 13676 0 0 31070 0 0 0 0 0 itp -1 0.0 14400.670410295985
15 2 10 3 8 0.23618102073669434 8260 5036 0 0 10730 0 0 0 0 0 itp -1 0.0 8846.265751381407
16 2 10 3 2 0.04702401161193848 700 716 0 0 1190 0 0 0 0 0 itp -1 0.0 3049.8356923356537
17 2 10 2 14 0.6557881832122803 24440 13656 0 0 30970 0 0 0 0 0 itp -1 0.0 15296.904419342098
18 2 10 2 8 0.24033522605895996 8240 5016 0 0 10630 0 0 0 0 0 itp -1 0.0 8979.713318699934
19 2 10 2 2 0.04384899139404297 680 696 0 0 1090 0 0 0 0 0 itp -1 0.0 2259.143804599357
