Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
2 10 10 3 14 4.957002878189087 122300 68370 0 0 155390 0 0 0 0 0 itp -1 0.0 7045.272341726479
3 10 10 3 8 1.105752944946289 41300 25170 0 0 53690 0 0 0 0 0 itp -1 0.0 8338.054820880796
4 10 10 3 2 0.13312911987304688 3500 3570 0 0 5990 0 0 0 0 0 itp -1 0.0 4130.69137803575
5 10 10 2 14 3.144166946411133 122200 68270 0 0 154890 0 0 0 0 0 itp -1 0.0 13593.92078640735
6 10 10 2 8 1.0697479248046875 41200 25070 0 0 53190 0 0 0 0 0 itp -1 0.0 8873.314303846584
7 10 10 2 2 0.12421917915344238 3400 3470 0 0 5490 0 0 0 0 0 itp -1 0.0 5826.731711568366
8 6 10 3 14 1.897726058959961 73380 41022 0 0 93230 0 0 0 0 0 itp -1 0.0 10296.114699643813
9 6 10 3 8 0.6511967182159424 24780 15102 0 0 32210 0 0 0 0 0 itp -1 0.0 9170.141472763007
10 6 10 3 2 0.08846402168273926 2100 2142 0 0 3590 0 0 0 0 0 itp -1 0.0 4211.914449422322
11 6 10 2 14 1.8633780479431152 73320 40962 0 0 92930 0 0 0 0 0 itp -1 0.0 9769.841145763152
12 6 10 2 8 0.6407392024993896 24720 15042 0 0 31910 0 0 0 0 0 itp -1 0.0 9662.792775722117
13 6 10 2 2 0.08744287490844727 2040 2082 0 0 3290 0 0 0 0 0 itp -1 0.0 3022.5737670439903
14 2 10 3 14 0.601168155670166 24460 13674 0 0 31070 0 0 0 0 0 itp -1 0.0 5476.306713668541
15 2 10 3 8 0.23093605041503906 8260 5034 0 0 10730 0 0 0 0 0 itp -1 0.0 3324.565119264747
16 2 10 3 2 0.047039031982421875 700 714 0 0 1190 0 0 0 0 0 itp -1 0.0 1066.9211804868587
17 2 10 2 14 0.6301717758178711 24440 13654 0 0 30970 0 0 0 0 0 itp -1 0.0 2026.9859487267936
18 2 10 2 8 0.23525404930114746 8240 5014 0 0 10630 0 0 0 0 0 itp -1 0.0 3101.116197662916
19 2 10 2 2 0.04336118698120117 680 694 0 0 1090 0 0 0 0 0 itp -1 0.0 1048.6304784046688
