Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
2 10 10 3 14 2.9103288650512695 122300 68200 0 0 155390 0 0 0 0 0 itp -1 0.0 11748.31120839108
3 10 10 3 8 1.028101921081543 41300 25000 0 0 53690 0 0 0 0 0 itp -1 0.0 9750.874393127928
4 10 10 3 2 0.4849720001220703 3500 3400 0 0 5990 0 0 0 0 0 itp -1 0.0 7218.9367977826605
5 10 10 2 14 4.157931089401245 122200 68100 0 0 154890 0 0 0 0 0 itp -1 0.0 17079.432365525154
6 10 10 2 8 1.0256860256195068 41200 24900 0 0 53190 0 0 0 0 0 itp -1 0.0 7686.904833175388
7 10 10 2 2 0.1283261775970459 3400 3300 0 0 5490 0 0 0 0 0 itp -1 0.0 5636.692069368196
8 6 10 3 14 1.8943688869476318 73380 40920 0 0 93230 0 0 0 0 0 itp -1 0.0 13200.302215024702
9 6 10 3 8 0.6353840827941895 24780 15000 0 0 32210 0 0 0 0 0 itp -1 0.0 10018.487506616477
10 6 10 3 2 0.08663702011108398 2100 2040 0 0 3590 0 0 0 0 0 itp -1 0.0 2466.451266164064
11 6 10 2 14 1.8097937107086182 73320 40860 0 0 92930 0 0 0 0 0 itp -1 0.0 15002.054709742499
12 6 10 2 8 0.6160738468170166 24720 14940 0 0 31910 0 0 0 0 0 itp -1 0.0 6543.055284271704
13 6 10 2 2 0.08194684982299805 2040 1980 0 0 3290 0 0 0 0 0 itp -1 0.0 3001.8956864480397
14 2 10 3 14 0.6242959499359131 24460 13640 0 0 31070 0 0 0 0 0 itp -1 0.0 1761.9414432913245
15 2 10 3 8 0.22295594215393066 8260 5000 0 0 10730 0 0 0 0 0 itp -1 0.0 2478.9802468667153
16 2 10 3 2 0.0434870719909668 700 680 0 0 1190 0 0 0 0 0 itp -1 0.0 1080.9998786211333
17 2 10 2 14 0.5870537757873535 24440 13620 0 0 30970 0 0 0 0 0 itp -1 0.0 2443.9097313691286
18 2 10 2 8 0.2162637710571289 8240 4980 0 0 10630 0 0 0 0 0 itp -1 0.0 1630.6172599152223
19 2 10 2 2 0.04012107849121094 680 660 0 0 1090 0 0 0 0 0 itp -1 0.0 852.3538431123843
