Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
2 10 10 3 14 3.25952410697937 122300 68370 0 0 155390 0 0 0 0 0 itp -1 0.0 26374.126376580338
3 10 10 3 8 1.1475849151611328 41300 25170 0 0 53690 0 0 0 0 0 itp -1 0.0 11668.652829731658
4 10 10 3 2 0.13609981536865234 3500 3570 0 0 5990 0 0 0 0 0 itp -1 0.0 4736.866881111521
5 10 10 2 14 3.231389045715332 122200 68270 0 0 154890 0 0 0 0 0 itp -1 0.0 17176.808530030754
6 10 10 2 8 1.1146788597106934 41200 25070 0 0 53190 0 0 0 0 0 itp -1 0.0 8722.386248233988
7 10 10 2 2 0.13448214530944824 3400 3470 0 0 5490 0 0 0 0 0 itp -1 0.0 5245.312794976532
8 6 10 3 14 1.9017200469970703 73380 41022 0 0 93230 0 0 0 0 0 itp -1 0.0 4459.01870603251
9 6 10 3 8 0.6726188659667969 24780 15102 0 0 32210 0 0 0 0 0 itp -1 0.0 4421.201302640799
10 6 10 3 2 0.09712600708007812 2100 2142 0 0 3590 0 0 0 0 0 itp -1 0.0 4505.758458842976
11 6 10 2 14 1.9104671478271484 73320 40962 0 0 92930 0 0 0 0 0 itp -1 0.0 7440.2476197548185
12 6 10 2 8 0.6749722957611084 24720 15042 0 0 31910 0 0 0 0 0 itp -1 0.0 5281.116145157081
13 6 10 2 2 0.09311413764953613 2040 2082 0 0 3290 0 0 0 0 0 itp -1 0.0 2738.9790539571336
14 2 10 3 14 0.6665081977844238 24460 13674 0 0 31070 0 0 0 0 0 itp -1 0.0 3048.9659232160834
15 2 10 3 8 0.23334693908691406 8260 5034 0 0 10730 0 0 0 0 0 itp -1 0.0 3021.658741556669
16 2 10 3 2 0.04549217224121094 700 714 0 0 1190 0 0 0 0 0 itp -1 0.0 1328.8371117839731
17 2 10 2 14 0.6481490135192871 24440 13654 0 0 30970 0 0 0 0 0 itp -1 0.0 2439.944796155803
18 2 10 2 8 0.23296117782592773 8240 5014 0 0 10630 0 0 0 0 0 itp -1 0.0 1496.594451446965
19 2 10 2 2 0.044934749603271484 680 694 0 0 1090 0 0 0 0 0 itp -1 0.0 1668.5331357034265
