Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
2 10 10 3 14 3.218930244445801 122300 68370 0 0 155390 0 0 0 0 0 itp -1 0.0 9746.124393648663
3 10 10 3 8 1.166053056716919 41300 25170 0 0 53690 0 0 0 0 0 itp -1 0.0 5720.360209674849
4 10 10 3 2 0.14636898040771484 3500 3570 0 0 5990 0 0 0 0 0 itp -1 0.0 4600.4357406197005
5 10 10 2 14 3.207918882369995 122200 68270 0 0 154890 0 0 0 0 0 itp -1 0.0 6234.246649941685
6 10 10 2 8 1.100632905960083 41200 25070 0 0 53190 0 0 0 0 0 itp -1 0.0 9074.050830514308
7 10 10 2 2 0.13668084144592285 3400 3470 0 0 5490 0 0 0 0 0 itp -1 0.0 6762.782012613992
8 6 10 3 14 1.8755998611450195 73380 41022 0 0 93230 0 0 0 0 0 itp -1 0.0 4643.285954901627
9 6 10 3 8 1.3905298709869385 24780 15102 0 0 32210 0 0 0 0 0 itp -1 0.0 5266.730810143095
10 6 10 3 2 0.0835421085357666 2100 2142 0 0 3590 0 0 0 0 0 itp -1 0.0 2713.947433985911
11 6 10 2 14 2.6689138412475586 73320 40962 0 0 92930 0 0 0 0 0 itp -1 0.0 5871.847178969439
12 6 10 2 8 0.657874345779419 24720 15042 0 0 31910 0 0 0 0 0 itp -1 0.0 4437.2611133042865
13 6 10 2 2 0.08366894721984863 2040 2082 0 0 3290 0 0 0 0 0 itp -1 0.0 2633.249003925797
14 2 10 3 14 0.6299238204956055 24460 13674 0 0 31070 0 0 0 0 0 itp -1 0.0 5507.300355545739
15 2 10 3 8 0.22444796562194824 8260 5034 0 0 10730 0 0 0 0 0 itp -1 0.0 4315.451933185992
16 2 10 3 2 0.04350996017456055 700 714 0 0 1190 0 0 0 0 0 itp -1 0.0 1211.1530086038965
17 2 10 2 14 0.6237411499023438 24440 13654 0 0 30970 0 0 0 0 0 itp -1 0.0 2572.729873111191
18 2 10 2 8 0.22647380828857422 8240 5014 0 0 10630 0 0 0 0 0 itp -1 0.0 2049.826940323937
19 2 10 2 2 0.04233908653259277 680 694 0 0 1090 0 0 0 0 0 itp -1 0.0 882.4974699212614
